
===== TRAINING =====
Dataset: crack (train set)
Model:   unetpp
Output:  /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/crack_unet/crack/unetpp
Loading dataset from: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/Dataset/crack_train
✓ Dataset loaded: 172 samples
[unetpp] ep=000 train=1.5138 val=1.4321
[unetpp] ep=001 train=1.3462 val=1.3017
[unetpp] ep=002 train=1.2775 val=1.2786
[unetpp] ep=003 train=1.2258 val=1.2269
[unetpp] ep=004 train=1.1846 val=1.1783
[unetpp] ep=005 train=1.1511 val=1.1445
[unetpp] ep=006 train=1.1232 val=1.0991
[unetpp] ep=007 train=1.1013 val=1.1039
[unetpp] ep=008 train=1.0804 val=1.1180
[unetpp] ep=009 train=1.0580 val=1.0765
[unetpp] ep=010 train=1.0354 val=1.0403
[unetpp] ep=011 train=1.0076 val=1.0423
[unetpp] ep=012 train=0.9806 val=1.0118
[unetpp] ep=013 train=0.9479 val=0.9493
[unetpp] ep=014 train=0.9179 val=0.9225
[unetpp] ep=015 train=0.8724 val=0.9230
[unetpp] ep=016 train=0.8161 val=0.8230
[unetpp] ep=017 train=0.7547 val=0.7965
[unetpp] ep=018 train=0.7014 val=0.7917
[unetpp] ep=019 train=0.6459 val=0.6321
[unetpp] ep=020 train=0.5946 val=0.5965
[unetpp] ep=021 train=0.5532 val=0.5770
[unetpp] ep=022 train=0.5205 val=0.5494
[unetpp] ep=023 train=0.5007 val=0.5248
[unetpp] ep=024 train=0.4948 val=0.5350
[unetpp] ep=025 train=0.4865 val=0.5534
[unetpp] ep=026 train=0.4725 val=0.5105
[unetpp] ep=027 train=0.4659 val=0.4906
[unetpp] ep=028 train=0.4549 val=0.4926
[unetpp] ep=029 train=0.4483 val=0.4954
[unetpp] ep=030 train=0.4473 val=0.4921
[unetpp] ep=031 train=0.4393 val=0.4975
[unetpp] ep=032 train=0.4415 val=0.4889
[unetpp] ep=033 train=0.4376 val=0.4894
[unetpp] ep=034 train=0.4251 val=0.4948
[unetpp] ep=035 train=0.4244 val=0.4771
[unetpp] ep=036 train=0.4200 val=0.4766
[unetpp] ep=037 train=0.4152 val=0.4692
[unetpp] ep=038 train=0.4085 val=0.4729
[unetpp] ep=039 train=0.4001 val=0.4677
[unetpp] ep=040 train=0.3914 val=0.4837
[unetpp] ep=041 train=0.3924 val=0.4729
[unetpp] ep=042 train=0.3904 val=0.4764
[unetpp] ep=043 train=0.3859 val=0.4884
[unetpp] ep=044 train=0.3786 val=0.4673
[unetpp] ep=045 train=0.3728 val=0.4692
[unetpp] ep=046 train=0.3612 val=0.4781
[unetpp] ep=047 train=0.3592 val=0.4871
[unetpp] ep=048 train=0.3580 val=0.4751
[unetpp] ep=049 train=0.3495 val=0.4872
[unetpp] ep=050 train=0.3456 val=0.4809
[unetpp] ep=051 train=0.3439 val=0.4805
[unetpp] ep=052 train=0.3506 val=0.4882
[unetpp] ep=053 train=0.3412 val=0.4828
[unetpp] ep=054 train=0.3326 val=0.4777
[unetpp] ep=055 train=0.3241 val=0.4821
[unetpp] ep=056 train=0.3236 val=0.4852
[unetpp] ep=057 train=0.3201 val=0.4849
[unetpp] ep=058 train=0.3160 val=0.4824
[unetpp] ep=059 train=0.3067 val=0.4892
[unetpp] ep=060 train=0.3158 val=0.4967
[unetpp] ep=061 train=0.3178 val=0.4882
[unetpp] ep=062 train=0.3057 val=0.4888
[unetpp] ep=063 train=0.3034 val=0.4921
[unetpp] ep=064 train=0.2911 val=0.4860
[unetpp] ep=065 train=0.2861 val=0.4883
[unetpp] ep=066 train=0.2890 val=0.4852
[unetpp] ep=067 train=0.2766 val=0.4926
[unetpp] ep=068 train=0.2769 val=0.4976
[unetpp] ep=069 train=0.2779 val=0.5006
[unetpp] ep=070 train=0.2847 val=0.4939
[unetpp] ep=071 train=0.2751 val=0.4987
[unetpp] ep=072 train=0.2707 val=0.4904
[unetpp] ep=073 train=0.2688 val=0.4984
[unetpp] ep=074 train=0.2605 val=0.5054
[unetpp] ep=075 train=0.2549 val=0.5068
[unetpp] ep=076 train=0.2637 val=0.5144
[unetpp] ep=077 train=0.2573 val=0.4983
[unetpp] ep=078 train=0.2547 val=0.4987
[unetpp] ep=079 train=0.2543 val=0.5149
Saved: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/crack_unet/crack/unetpp/best.pth
===== TRAINING DONE =====
