
=============================================
STARTING Stage1
Episodes: 15000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=50)
[Stage1] Ep 100 | Avg Rew: -4.49 | Success: 0.00
[Stage1] Ep 200 | Avg Rew: -4.09 | Success: 0.00
[Stage1] Ep 300 | Avg Rew: 1.35 | Success: 0.02
[Stage1] Ep 400 | Avg Rew: -0.57 | Success: 0.01
[Stage1] Ep 500 | Avg Rew: 6.56 | Success: 0.02
[Stage1] Ep 600 | Avg Rew: 1.51 | Success: 0.01
[Stage1] Ep 700 | Avg Rew: 6.86 | Success: 0.02
[Stage1] Ep 800 | Avg Rew: 17.38 | Success: 0.05
[Stage1] Ep 900 | Avg Rew: 15.80 | Success: 0.04
[Stage1] Ep 1000 | Avg Rew: 16.98 | Success: 0.05
[Stage1] Ep 1100 | Avg Rew: 17.32 | Success: 0.05
[Stage1] Ep 1200 | Avg Rew: 20.70 | Success: 0.03
[Stage1] Ep 1300 | Avg Rew: 23.17 | Success: 0.03
[Stage1] Ep 1400 | Avg Rew: 18.32 | Success: 0.04
[Stage1] Ep 1500 | Avg Rew: 28.89 | Success: 0.01
[Stage1] Ep 1600 | Avg Rew: 30.37 | Success: 0.05
[Stage1] Ep 1700 | Avg Rew: 26.07 | Success: 0.03
[Stage1] Ep 1800 | Avg Rew: 24.31 | Success: 0.05
[Stage1] Ep 1900 | Avg Rew: 40.52 | Success: 0.03
[Stage1] Ep 2000 | Avg Rew: 27.27 | Success: 0.02
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage1_ep2000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage1_ep2000.pth
[Stage1] Ep 2100 | Avg Rew: 35.89 | Success: 0.04
[Stage1] Ep 2200 | Avg Rew: 39.62 | Success: 0.07
[Stage1] Ep 2300 | Avg Rew: 32.13 | Success: 0.03
[Stage1] Ep 2400 | Avg Rew: 40.37 | Success: 0.03
[Stage1] Ep 2500 | Avg Rew: 38.87 | Success: 0.02
[Stage1] Ep 2600 | Avg Rew: 26.51 | Success: 0.02
[Stage1] Ep 2700 | Avg Rew: 37.54 | Success: 0.01
[Stage1] Ep 2800 | Avg Rew: 40.46 | Success: 0.02
[Stage1] Ep 2900 | Avg Rew: 45.60 | Success: 0.06
[Stage1] Ep 3000 | Avg Rew: 34.24 | Success: 0.06
[Stage1] Ep 3100 | Avg Rew: 30.40 | Success: 0.04
[Stage1] Ep 3200 | Avg Rew: 31.28 | Success: 0.03
[Stage1] Ep 3300 | Avg Rew: 51.14 | Success: 0.06
[Stage1] Ep 3400 | Avg Rew: 42.40 | Success: 0.04
[Stage1] Ep 3500 | Avg Rew: 31.08 | Success: 0.03
[Stage1] Ep 3600 | Avg Rew: 51.31 | Success: 0.04
[Stage1] Ep 3700 | Avg Rew: 43.27 | Success: 0.06
[Stage1] Ep 3800 | Avg Rew: 46.56 | Success: 0.08
[Stage1] Ep 3900 | Avg Rew: 54.39 | Success: 0.06
[Stage1] Ep 4000 | Avg Rew: 30.99 | Success: 0.06
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage1_ep4000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage1_ep4000.pth
[Stage1] Ep 4100 | Avg Rew: 56.43 | Success: 0.08
[Stage1] Ep 4200 | Avg Rew: 49.11 | Success: 0.02
[Stage1] Ep 4300 | Avg Rew: 52.53 | Success: 0.05
[Stage1] Ep 4400 | Avg Rew: 39.89 | Success: 0.05
[Stage1] Ep 4500 | Avg Rew: 39.85 | Success: 0.00
[Stage1] Ep 4600 | Avg Rew: 42.13 | Success: 0.04
[Stage1] Ep 4700 | Avg Rew: 63.57 | Success: 0.04
[Stage1] Ep 4800 | Avg Rew: 56.79 | Success: 0.07
[Stage1] Ep 4900 | Avg Rew: 68.26 | Success: 0.06
[Stage1] Ep 5000 | Avg Rew: 55.72 | Success: 0.05
[Stage1] Ep 5100 | Avg Rew: 67.34 | Success: 0.08
[Stage1] Ep 5200 | Avg Rew: 67.76 | Success: 0.04
[Stage1] Ep 5300 | Avg Rew: 67.09 | Success: 0.05
[Stage1] Ep 5400 | Avg Rew: 57.46 | Success: 0.07
[Stage1] Ep 5500 | Avg Rew: 74.72 | Success: 0.12
[Stage1] Ep 5600 | Avg Rew: 52.60 | Success: 0.03
[Stage1] Ep 5700 | Avg Rew: 57.95 | Success: 0.07
[Stage1] Ep 5800 | Avg Rew: 72.21 | Success: 0.09
[Stage1] Ep 5900 | Avg Rew: 55.02 | Success: 0.08
[Stage1] Ep 6000 | Avg Rew: 90.01 | Success: 0.12
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage1_ep6000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage1_ep6000.pth
[Stage1] Ep 6100 | Avg Rew: 71.67 | Success: 0.06
[Stage1] Ep 6200 | Avg Rew: 53.90 | Success: 0.03
[Stage1] Ep 6300 | Avg Rew: 48.43 | Success: 0.03
[Stage1] Ep 6400 | Avg Rew: 57.16 | Success: 0.06
[Stage1] Ep 6500 | Avg Rew: 75.91 | Success: 0.08
[Stage1] Ep 6600 | Avg Rew: 68.37 | Success: 0.05
[Stage1] Ep 6700 | Avg Rew: 62.62 | Success: 0.07
[Stage1] Ep 6800 | Avg Rew: 78.87 | Success: 0.11
